,sample_id,species,petal_length,petal_width
0,g4JZlAtiN4mBGyE,versicolor,4.589242619079317,1.306969295136263
1,BwWealRi00L4RH1,versicolor,4.836182703586678,1.3842440492091577
2,ZdyiDoTAArjRj3X,virginica,5.510279696068056,1.7869673007778917
3,0NqN8AaLZ8jelu^,setosa,1.4346067378811254,0.4196944434206537
4,8nqRlCsXKJjHafD,versicolor,3.950310285471313,1.22427456391351
5,otVBvvcynjp7UzN,setosa,1.506728799518841,0.3259624839249401
6,fWIrmBqHQtz8xsF,virginica,5.604368223670195,2.1572429944021607
7,ARwpVhHYWHt9wfY,setosa,1.6140606128190988,0.19914263457656528
8,F5F0rlPyu#7r6qZ,setosa,1.7028967479124455,0.09568608932374753
9,yi19vtGTuYKj4eZ,versicolor,4.268391936796625,1.274063641622041
10,YOUAeEtFDmkZ^Fj,virginica,5.014562463391163,1.963292351307343
11,mJXjeWxnNsSFDrT,virginica,5.341064322499436,2.041667334778604
12,6LRAdYzEePbHx.v,setosa,1.3252468615669954,0.39509416263027586
13,VlZdQIneAs6HWnK,setosa,1.572765698554209,0.1243418843849728
14,7eMPKj06G5OvZMj,virginica,5.44638652680034,1.9122448052058263
15,lsASAgtVjFRU1Qx,virginica,5.016659462654536,1.6842187096321481
16,vqSnrKjDlQDgjJ5,versicolor,3.320587066159768,1.3863330209350226
17,kyKhRLVcS0rCv!P,versicolor,4.524713445359916,1.3209845258693267
18,VusNKl:RCT@OGn7,versicolor,4.472724022888777,0.9000112567981279
19,URnphXM&tofspVk,setosa,2.0518378398162804,0.43813671272111565
20,pNDDcwiseh3IIaO,setosa,1.4650578408018633,0.3029596567888669
21,BtUCKOq7JvnPlOs,virginica,5.042649446534339,1.9549163000101533
22,RmyJiI6DvoSRs0h,setosa,1.6747449354137511,0.411757995528678
23,RCBCwkJWUHyVwqV,versicolor,3.702689984126751,1.4224742121603509
24,P6vSkw5eLzuitjC,virginica,5.307303511993814,1.7827277961611565
25,ZrvCi^tjWUU4bEY,virginica,6.791104532264694,2.3718369259025036
26,PQtAlWI8lvfKwjg,versicolor,4.537703094358358,1.4150216069657962
27,CmPNAjD$OJz8xtz,versicolor,4.345018907386721,1.6324995290508904
28,dv?P3qdIEdTsXG0,versicolor,4.617983468399989,1.0880820581054977
29,bRJfblUTBih4vXZ,virginica,5.699914933347333,2.0110195969662934
30,NQQOaLqpblOQuud,versicolor,4.524105844912171,1.3157726014302913
31,Kare66K2FihEV93,versicolor,5.391703187383987,1.3035326282133521
32,KJyMLpvdNBdmLTR,setosa,1.7137349504193928,0.21364530342600369
33,.YMSQuwaWaPchGH,setosa,1.519535031215457,0.12209582037452302
34,uCCSdxHpT@4KB&D,virginica,6.352339000404332,2.3468989022367586
35,VeqxTj7HsOytlDc,setosa,1.386142392123051,0.11693333339605913
36,O3^muUuTPXgCgBZ,versicolor,3.6437528626459152,1.4898827075101526
37,MSpolLlZEykfAPj,virginica,4.581417869606838,1.5835348859626246
38,CK8cRCbPRzdhrQZ,versicolor,4.044254372225062,1.4043907209159043
39,YlmIpkStw5mWwxr,versicolor,3.778708173234722,1.1925177446304405
40,VBsso&DLWhoavWN,virginica,4.969315789994214,2.142619425305027
41,uvhivHYmHKkbZbe,versicolor,4.710993109776221,1.4349675290334258
42,AYyUNGIOflHwKVz,virginica,6.071931131887528,2.3031342070529313
43,azdzItv7n4Ob4VW,versicolor,3.9430886718439258,1.560527593111106
44,tBkU17D%pLZu2iq,virginica,5.215449720793379,2.3728069319589795
45,ybv6JZso4wx5G9S,versicolor,4.452328388600909,1.3634199296991185
46,ZcmFr4G9gwtUFpH,setosa,1.2190580117020116,0.18968299111973275
47,GuCsuS1*XYdCoFw,versicolor,4.21459202771776,1.2040170588210737
48,phLLoXMzigjOK01,setosa,1.3850202823608497,-0.003329412747451327
49,RCpoVUsSf1lcnsx,virginica,5.0539864049468255,1.9595961107676327
50,CtcfDpZzV.zUpU#,setosa,1.454251982099107,0.1358851721158512
51,F7QQBkULCQWsPPq,virginica,4.990617971492165,1.9252230839958648
52,xOTTfUDOENgKe&8,versicolor,3.8662175654707154,1.3571196576788667
53,kbk8teAExFXRVmo,virginica,5.0748879271420515,1.9418734022950992
54,!bbMXD61MItc2AP,setosa,1.6897659112793975,0.24468272049805753
55,NCNzLLDGLZ0bFwT,virginica,5.605374220007039,1.9212443512240818
56,MMThFbLqLZNZHmS,versicolor,4.841037935843913,1.1542305609176318
57,Br4bELwbESkKF8n,versicolor,4.667458622127197,1.4269253675536342
58,Lg1WLhnMAVEZD:P,versicolor,4.495551730012216,1.2584319925623713
59,qSgUNnCRqwfjUwQ,versicolor,4.863421968958712,1.0561077054610906
60,q#pD2AT3PSCsbXq,setosa,1.589088078089187,0.34902231299922004
61,XcbgpAhaxcGF:TY,setosa,1.3846092570542614,0.2919745486629826
62,k1$h*pkrpRerFKW,setosa,1.4183774154848443,0.3107808964230184
63,NWclLZbZXUFUwwy,versicolor,3.817670199133892,1.6085363010567637
64,wJbp*SLsgqwqU3h,virginica,5.569801976660786,2.2708713388370025
65,NXVhqf3jYW5MMIj,virginica,5.6627088208805,1.8995452846708991
66,lLXMVuFWn1U4ULx,versicolor,3.7613344091643097,1.4138242882276888
67,KK9EaMpQsrECdpL,setosa,1.8396542010934565,0.10465303441819335
68,IFRBMj@rIwYkuUs,setosa,1.4731636845133282,0.16068342545506178
69,VrdbFFaZAUIQHVl,virginica,5.872442448311553,1.6769555350471572
70,hUPXl9dHXtPj0gy,virginica,6.20575569977561,1.8419537930774534
71,SylZS8kd9X8DUbH,virginica,4.967787984471268,2.1590771578158736
72,"e5PXZ6N^x,fzIVp",setosa,1.5160708081192773,0.3824290900959412
73,BxP0GyckoyhXKHK,setosa,1.3648646632737556,0.3989084539098072
74,p0OCgbys%FW6v4R,versicolor,4.199051778348989,1.3495085492695684
75,HBdZ73PxIebCJqb,setosa,1.4344592665739502,0.35731623831331494
76,qCESJwZSkwHLWHh,setosa,1.4649385010900153,0.31417338316785853
77,UxNgFG8eGUaTcxH,setosa,1.2942562042115273,0.2705229048223708
78,BKJoXJgMBp8yDIL,virginica,4.140144790462912,1.7316007015489225
79,DbYlLG7eLvCcUQN,virginica,5.601432969704913,2.2213525289575946
80,jucilB4DxLHmiIZ,setosa,0.9442313226957537,0.056531286898147015
81,BICKlsaIqOVWeVT,virginica,5.602541915500306,1.759924161588922
82,MitzkxJCK4SkgVM,setosa,1.6357495381032845,0.235072706801723
83,wRtDRvAQhOH4DML,virginica,5.515564452595633,1.8666067421421229
84,?2kdxdAXqj2PgYJ,versicolor,4.695759390758384,1.0878923267980198
85,YSgDPqIzi12gdO1,setosa,1.4091618681512146,0.21360991274252614
86,iGHxuqbHuguAPn6,setosa,1.4046181285731085,0.04505542985911418
87,jKFXR9RopGauVrJ,setosa,1.0490989185046624,0.24687918088956895
88,5NrKknveI5GUjCh,setosa,1.7962163122640118,0.20332362363435336
89,ec?KQHUrCStKvKi,versicolor,4.76975910328094,0.9356461975438606
90,MN%Y!9LRNDRWvX@,versicolor,3.957957995578296,1.5428577126924152
91,UPVhwT9qrxvjLe.,setosa,1.4384623021822243,0.3285642475144936
92,NcDYKGLi76YN7IL,setosa,1.5979414928839075,0.4435074702141377
93,ePT1KDkgrbju23u,setosa,1.3492771446218395,0.29120015122179355
94,zrAXdMPKBuvDzNV,versicolor,4.472859961448247,1.3812980122817924
95,HTkRCaD7EEG&r0y,virginica,5.699212473660667,1.7416139252177563
96,vfgAMrTcSf7HFRo,setosa,1.6201681078549304,0.5002356933135227
97,Ss2wufGNBy5J0CC,virginica,4.799409334366594,1.9753058658839038
98,JKRMlRaqxUpdB3L,versicolor,4.315050549752077,1.6055910414006502
99,cmcq6CbyKmVTud9,virginica,5.325596361537874,2.0642927167956473
100,SMZl9NeOMPKfX1t,setosa,1.5088403931043632,0.09551397566158876
101,kp^foFC3Z1axniM,virginica,5.680876956207838,2.3310702425974568
102,kGMXXYQocROwxy0,versicolor,3.242209173738452,1.4426498944252102
103,LMSSELt7DuSVsXB,virginica,5.049579130071371,2.453720606737143
104,VPLkQVV6xZwZjM8,versicolor,4.035701285834133,1.3483410376033709
105,BG6hTyBpU4beVAa,versicolor,4.328769952856086,1.4965561212592047
106,lTdFg4sli3Pz8wj,virginica,6.24866539293196,1.863558788621851
107,YkBvRsNxkaMuaqN,versicolor,4.996474254447133,1.274395232753462
108,lQCueDIqnAItdPv,virginica,5.398051372042995,2.3843447356621277
109,ZeRvOXuUJHOiLkh,setosa,1.631488028370676,0.3427422240665805
110,P5sqfeJ4F8Dokdt,virginica,5.519732308075451,1.6990332435468174
111,"4FDEHair7AeL,rc",virginica,5.939850521622843,1.8995526103980445
112,jj^HIXhCGHUrxDv,virginica,5.3401946417841675,1.5434139694801239
113,9G?aZNTm2KixCOp,virginica,5.644260287741905,1.9036587906534912
114,2SZr6cWNlwqfcL!,versicolor,4.9664062725682685,0.982860959017922
115,Exh9hqtDXoq7Hfu,setosa,1.399053555736793,0.27901076089724575
116,HdByHlLq0MzuYv8,versicolor,3.8844387064936607,1.408051240019688
117,x0mNn4FWnVCefRb,virginica,5.3455154244285525,1.8593611434301978
118,kzkn5q6TioixrLl,virginica,5.258997666477022,1.5626531679290163
119,kMuRQIlXRT6yvLe,versicolor,4.344251055615231,1.3146024815825346
120,ujmKvEdVckY%dah,versicolor,4.152353760178978,1.3981148585908882
121,:PhwtKDtnxtURYZ,versicolor,4.173585823257711,1.6633875306814179
122,wsyRYqrFqXVEInH,versicolor,4.612066039850524,1.5216919475992594
123,xckk*jnElcXwWrg,setosa,1.4145732845673553,0.19288997344320283
124,tUqUuHPu5wwE9CX,versicolor,4.087612369057895,1.1140084613128296
125,NXi3OMZ5eaoDQqy,virginica,5.70841728308632,1.9534772318794649
126,tf3PjL7r2kawRnj,virginica,5.3526627648273415,1.89724196929927
127,2PWZqV7Hy^bBUxG,virginica,5.794727306335221,2.4045388388497377
128,Gma2dDDzpQIwUjr,virginica,5.384332493212649,1.6235629976609876
129,qccBEqaZanXdnZU,setosa,1.2804170455960275,0.2645131945101512
130,VwfkCoD9NrrNWWN,virginica,5.424764037811479,2.1307966682954858
131,HTr0HkqaFx80QtX,setosa,1.6978250137481918,0.20841820470980502
132,Gr&g0FkDuaVhPRO,setosa,1.4668741732959254,0.2878152800528083
133,EJDJtCKezUPePRJ,virginica,5.7694563461832296,2.0950592191202135
134,Vc98KtQDXFu6mpq,setosa,1.4408643450550047,0.25970912424784426
135,EntauMUpL1UxUot,virginica,5.760750156612599,2.2708278054134974
136,J4EZGDuAsshYBtq,setosa,1.3393895977657513,0.24992524863831228
137,6XmxRsStMiUUT5y,versicolor,3.559382504402148,1.2129589649723893
138,pfQqM6uUambhJHJ,setosa,1.160223457973563,0.14060408078362835
139,vgOa.bKTWVSYrPR,versicolor,4.565926030896449,1.577499453208552
140,efK7BDnlXr8uCsr,virginica,5.610081244162081,2.1274917455678204
141,Dg6LkF#AscyVtqZ,setosa,1.5858687337359143,0.10238049539555308
142,hFKryyGPPzdH?Po,versicolor,4.114479955581124,1.5763805790342185
143,WbDHNnODC7DmznT,versicolor,4.076537383970962,1.5473231499247682
144,XQMFvRW6GC0Fiyf,setosa,1.5679894758291126,0.2383365879974612
145,OdGVCXAogTKYlou,setosa,1.153406434085172,0.2532033704202482
146,RfhQcCqkgElTdgQ,setosa,1.9396531955928529,0.38436561860477686
147,KVOgLV6Q#yIYrjY,versicolor,5.10663854990058,1.5333974564643043
148,wRkfYyPTwUzYYb0,versicolor,3.6954707087288976,1.0781463835611529
149,"LJKQtCDGGuAeSd,",virginica,5.875652751914557,2.0364193313610275
