,sample_id,species,sepal_length,sepal_width
0,kzkn5q6TioixrLl,virginica,6.478158982669269,3.035585122674086
1,YkBvRsNxkaMuaqN,versicolor,5.520372205541104,3.0064241634720945
2,RCpoVUsSf1lcnsx,virginica,5.609392804253678,3.1736029382646995
3,bRJfblUTBih4vXZ,virginica,7.042213770736246,2.808180863608765
4,7eMPKj06G5OvZMj,virginica,6.996548195048431,3.022570147257491
5,k1$h*pkrpRerFKW,setosa,4.92460798615698,3.225929840881756
6,Lg1WLhnMAVEZD:P,versicolor,5.334831016388134,2.6316736239402543
7,F5F0rlPyu#7r6qZ,setosa,5.192555667123526,3.526238205764478
8,9G?aZNTm2KixCOp,virginica,6.991825524288825,2.7518099296647733
9,lsASAgtVjFRU1Qx,virginica,6.930098792091824,2.9864170522176336
10,BICKlsaIqOVWeVT,virginica,6.941976364234012,3.4218957189067445
11,mJXjeWxnNsSFDrT,virginica,5.103174802079782,3.3031543641860135
12,BxP0GyckoyhXKHK,setosa,5.3085892956937455,4.1290649504323005
13,UPVhwT9qrxvjLe.,setosa,4.840696943183231,3.1769816988678974
14,uvhivHYmHKkbZbe,versicolor,6.591511511134872,2.865489941857779
15,JKRMlRaqxUpdB3L,versicolor,5.915061302945653,2.2031964118305454
16,Br4bELwbESkKF8n,versicolor,6.552824660332783,3.6077690025269216
17,RCBCwkJWUHyVwqV,versicolor,5.968878750155664,2.8161253155003547
18,2PWZqV7Hy^bBUxG,virginica,6.991066621003373,2.641208440702982
19,zrAXdMPKBuvDzNV,versicolor,5.518396367551679,2.9477736376969625
20,O3^muUuTPXgCgBZ,versicolor,5.474880254886754,2.6058388426455625
21,ePT1KDkgrbju23u,setosa,5.273547956835837,3.8414669665401404
22,p0OCgbys%FW6v4R,versicolor,5.65369993241325,2.2403864398538826
23,HTkRCaD7EEG&r0y,virginica,7.1230752352509565,3.386528778459727
24,fWIrmBqHQtz8xsF,virginica,6.456808705930319,2.805747126274423
25,YOUAeEtFDmkZ^Fj,virginica,6.246692474611914,2.53229212802269
26,wRkfYyPTwUzYYb0,versicolor,6.74838459492944,2.3664394305754906
27,Dg6LkF#AscyVtqZ,setosa,5.317308622123228,3.225617274463936
28,KK9EaMpQsrECdpL,setosa,5.554717227087107,3.584776438176998
29,kMuRQIlXRT6yvLe,versicolor,6.386228654645218,2.898714540921043
30,hFKryyGPPzdH?Po,versicolor,6.830949441195875,2.62513249811873
31,CmPNAjD$OJz8xtz,versicolor,5.7231894060888555,2.632849375915199
32,g4JZlAtiN4mBGyE,versicolor,5.844006342161014,3.341825347448392
33,lQCueDIqnAItdPv,virginica,6.689807230336441,2.6992625149342953
34,vfgAMrTcSf7HFRo,setosa,5.385517362712835,3.7639580086042463
35,VusNKl:RCT@OGn7,versicolor,5.926105254527613,2.5625399878873556
36,MN%Y!9LRNDRWvX@,versicolor,5.9144791343159895,2.4997887777379617
37,ujmKvEdVckY%dah,versicolor,6.3517008707371305,3.2813891515485216
38,kyKhRLVcS0rCv!P,versicolor,6.096254103586857,2.683841315888331
39,SMZl9NeOMPKfX1t,setosa,4.331675837208651,4.057337175991811
40,VBsso&DLWhoavWN,virginica,5.908939547372888,3.3003710234582155
41,xOTTfUDOENgKe&8,versicolor,5.543837996041044,3.2647349992034282
42,VwfkCoD9NrrNWWN,virginica,6.3073745681645885,2.936683617888904
43,CtcfDpZzV.zUpU#,setosa,4.834725407808563,3.2221213966670845
44,?2kdxdAXqj2PgYJ,versicolor,6.547810886558152,2.5904562640615363
45,otVBvvcynjp7UzN,setosa,5.401327099661363,3.7205744369581897
46,HBdZ73PxIebCJqb,setosa,5.628667477938161,3.6626398304960186
47,lLXMVuFWn1U4ULx,versicolor,5.3279768737095745,2.7153421728857197
48,qccBEqaZanXdnZU,setosa,4.822291446288284,3.617031227480527
49,0NqN8AaLZ8jelu^,setosa,4.036309231149397,3.5274496640127433
50,Ss2wufGNBy5J0CC,virginica,7.3453308818792795,2.5680483501476132
51,CK8cRCbPRzdhrQZ,versicolor,5.77673489487854,2.432077799976145
52,qCESJwZSkwHLWHh,setosa,5.046988111544253,3.26922920074708
53,jj^HIXhCGHUrxDv,virginica,7.518594285799572,2.107798997707467
54,ZrvCi^tjWUU4bEY,virginica,6.3824880460510585,3.2481511067879754
55,xckk*jnElcXwWrg,setosa,5.041188334663035,4.0383024716870075
56,q#pD2AT3PSCsbXq,setosa,4.956150018865182,2.820965244653483
57,J4EZGDuAsshYBtq,setosa,5.362416822787964,3.009537557576139
58,Vc98KtQDXFu6mpq,setosa,4.699598579182247,2.9565044474327054
59,ARwpVhHYWHt9wfY,setosa,4.903285527245457,3.1454439581475873
60,PQtAlWI8lvfKwjg,versicolor,6.191169735874207,2.8358490549987696
61,6XmxRsStMiUUT5y,versicolor,6.76324903330463,2.7787459081780312
62,wsyRYqrFqXVEInH,versicolor,6.188601423254362,2.8120575400032712
63,Exh9hqtDXoq7Hfu,setosa,5.526611171233061,3.9957786910877715
64,EJDJtCKezUPePRJ,virginica,6.764409158812592,3.050099226616206
65,ZdyiDoTAArjRj3X,virginica,6.081145975981138,3.040232239867617
66,Gma2dDDzpQIwUjr,virginica,6.091804293590781,2.9137228974234426
67,EntauMUpL1UxUot,virginica,6.385078568660413,2.5808500594605372
68,uCCSdxHpT@4KB&D,virginica,5.413269349747037,3.1064504614769324
69,jucilB4DxLHmiIZ,setosa,4.766985900427914,4.1981536098199035
70,iGHxuqbHuguAPn6,setosa,5.342462674960162,2.7364444211502086
71,SylZS8kd9X8DUbH,virginica,6.215109940694745,3.3443086519816037
72,"LJKQtCDGGuAeSd,",virginica,6.38430464368836,2.6042195242429034
73,KVOgLV6Q#yIYrjY,versicolor,5.531415238430952,2.214054594183378
74,vgOa.bKTWVSYrPR,versicolor,5.973409662909579,2.514028807936345
75,NQQOaLqpblOQuud,versicolor,5.883319145093092,2.654912837587898
76,KJyMLpvdNBdmLTR,setosa,4.820044306265687,3.7711760467990807
77,yi19vtGTuYKj4eZ,versicolor,6.8221974100518,3.141829990953312
78,XcbgpAhaxcGF:TY,setosa,4.981945941032333,3.90672413130322
79,IFRBMj@rIwYkuUs,setosa,5.206872486878238,3.3735977811865636
80,NcDYKGLi76YN7IL,setosa,5.054489549220171,3.3777882722419132
81,vqSnrKjDlQDgjJ5,versicolor,5.083039714536055,2.979571768324919
82,5NrKknveI5GUjCh,setosa,4.571254515481588,3.3152698811217647
83,hUPXl9dHXtPj0gy,virginica,6.141439323313486,3.3919705707812917
84,P5sqfeJ4F8Dokdt,virginica,6.920229102806008,3.0117358966819916
85,BKJoXJgMBp8yDIL,virginica,6.377286067361651,2.84719010819662
86,pNDDcwiseh3IIaO,setosa,4.793554013422955,3.1684491003773414
87,pfQqM6uUambhJHJ,setosa,4.927126410063313,3.7160343376311906
88,NXi3OMZ5eaoDQqy,virginica,6.065686544433856,2.566642375170764
89,WbDHNnODC7DmznT,versicolor,5.957917567133288,2.9072156143499974
90,GuCsuS1*XYdCoFw,versicolor,5.1814537774434815,2.9008540773792073
91,BtUCKOq7JvnPlOs,virginica,5.850026898696892,3.6395926696734318
92,x0mNn4FWnVCefRb,virginica,6.078405465536874,2.9972011296964287
93,VeqxTj7HsOytlDc,setosa,4.963505309080153,3.1150148573198377
94,HTr0HkqaFx80QtX,setosa,4.779586921167806,3.1002311205858746
95,"4FDEHair7AeL,rc",virginica,6.019143789991949,2.9209591789019966
96,6LRAdYzEePbHx.v,setosa,5.09246518462439,3.7065725584921276
97,UxNgFG8eGUaTcxH,setosa,4.9720921231741295,3.8660965986450035
98,BG6hTyBpU4beVAa,versicolor,5.7933558698086856,3.3472754270251475
99,lTdFg4sli3Pz8wj,virginica,6.650275349973909,3.159766796399779
100,VlZdQIneAs6HWnK,setosa,4.9845324166136855,3.473013940860668
101,YlmIpkStw5mWwxr,versicolor,6.404155449884369,2.1754550461591915
102,Gr&g0FkDuaVhPRO,setosa,5.36566403483761,3.9247804042588603
103,LMSSELt7DuSVsXB,virginica,6.618141258322518,3.007292467914077
104,kbk8teAExFXRVmo,virginica,6.684440103561797,2.648808080694379
105,NXVhqf3jYW5MMIj,virginica,5.549108662085105,3.33892170615032
106,dv?P3qdIEdTsXG0,versicolor,5.993300879633807,2.589789629418798
107,RmyJiI6DvoSRs0h,setosa,4.679420300450888,3.219740620306674
108,"e5PXZ6N^x,fzIVp",setosa,5.250858694690527,3.4296657285843026
109,jKFXR9RopGauVrJ,setosa,4.699627543888528,3.387363711584042
110,kp^foFC3Z1axniM,virginica,6.062755816507935,3.1744056176114444
111,efK7BDnlXr8uCsr,virginica,5.770217451403684,2.9050881264436974
112,tf3PjL7r2kawRnj,virginica,5.283382049037467,3.120245827202875
113,Kare66K2FihEV93,versicolor,5.779108183339693,2.7056186771317283
114,tBkU17D%pLZu2iq,virginica,6.031984869458492,3.4514754669570915
115,wRtDRvAQhOH4DML,virginica,5.902312496494246,3.398532746466219
116,HdByHlLq0MzuYv8,versicolor,5.454765307104185,2.2878800586960453
117,ybv6JZso4wx5G9S,versicolor,6.17550408265563,3.117512606631532
118,YSgDPqIzi12gdO1,setosa,5.190801364026091,3.647280211142046
119,.YMSQuwaWaPchGH,setosa,4.43246662643139,3.1953794207881527
120,qSgUNnCRqwfjUwQ,versicolor,6.170961072630393,3.1386129196658845
121,VPLkQVV6xZwZjM8,versicolor,5.681804305321211,2.3986131292550956
122,!bbMXD61MItc2AP,setosa,5.22487494335907,2.897025373106939
123,NWclLZbZXUFUwwy,versicolor,5.746575536452141,2.9225919448763005
124,8nqRlCsXKJjHafD,versicolor,6.885231600449835,3.6319723709265928
125,2SZr6cWNlwqfcL!,versicolor,6.029394107616927,1.7047475969696337
126,MSpolLlZEykfAPj,virginica,6.228062159544157,3.1806026880086686
127,:PhwtKDtnxtURYZ,versicolor,5.764890404371954,2.896253706169378
128,P6vSkw5eLzuitjC,virginica,6.753319625011917,2.6561883487185365
129,URnphXM&tofspVk,setosa,4.755795541770151,3.493873721127348
130,AYyUNGIOflHwKVz,virginica,6.181593178583581,3.2032860863189407
131,MitzkxJCK4SkgVM,setosa,5.105745536201169,3.447593566816929
132,XQMFvRW6GC0Fiyf,setosa,4.918165947217082,3.1914858521015685
133,BwWealRi00L4RH1,versicolor,5.919572208413941,2.6241727122787735
134,kGMXXYQocROwxy0,versicolor,5.753117011582009,3.1062805889371554
135,OdGVCXAogTKYlou,setosa,5.118126249839811,3.092223393684626
136,RfhQcCqkgElTdgQ,setosa,4.672873653551415,3.1955194714874855
137,ec?KQHUrCStKvKi,versicolor,4.8446876619456365,2.4512139088221385
138,DbYlLG7eLvCcUQN,virginica,5.842999999644746,3.0161250984042627
139,phLLoXMzigjOK01,setosa,4.633568789493831,3.5352922826568807
140,wJbp*SLsgqwqU3h,virginica,7.965389636557944,2.4067740724241102
141,azdzItv7n4Ob4VW,versicolor,6.269947788669462,2.2909743982298716
142,MMThFbLqLZNZHmS,versicolor,6.01052461420283,3.0847980682460414
143,ZeRvOXuUJHOiLkh,setosa,5.370046877141029,3.639836606351213
144,tUqUuHPu5wwE9CX,versicolor,5.330022833869821,3.0477862366875157
145,cmcq6CbyKmVTud9,virginica,6.042646979726396,3.3039046528472493
146,ZcmFr4G9gwtUFpH,setosa,4.918014758591201,4.122686426114318
147,F7QQBkULCQWsPPq,virginica,6.056341355000353,3.414888144436975
148,VrdbFFaZAUIQHVl,virginica,6.333823724881769,2.587576224286648
149,NCNzLLDGLZ0bFwT,virginica,5.939927941553961,3.3571950282970064
